germplasmDbId,germplasmName,synonyms,germplasmPUI
65887,ITC1455-Mchare Mlelembo,ITC.1455_Mshale Mlelembo; Mchale Mlelembo; Mchare Mlelembo; Mshale Mlelembo; Mshale-Mlelembo; Mshare Mlelembo,
65043,Huti-white,Huti white,
65045,Mchare Laini,MchareLaini,
64970,ITC1468-kahuti,ITC.1468_Kahuti; Kahuti; kahuti,
196225,NM276-3,NA,https://musabase.org/stock/196225/view
196217,NM226-4,NA,https://musabase.org/stock/196217/view
196215,NM226-14,NA,https://musabase.org/stock/196215/view
180227,NM226-11,NA,https://musabase.org/stock/180227/view
196230,T.2274-9,NA,https://musabase.org/stock/196230/view
171826,T.2274-12,T.2274-8,https://musabase.org/stock/171826/view
171824,T.2269-2,NA,https://musabase.org/stock/171824/view
196228,T.2273-1,NA,https://musabase.org/stock/196228/view
171827,T.2274-3,NA,https://musabase.org/stock/171827/view
196221,NM258-3,NA,https://musabase.org/stock/196221/view
180229,NM226-5,NA,https://musabase.org/stock/180229/view
171831,T.2317-1,NA,https://musabase.org/stock/171831/view
180224,NM185-1,NA,https://musabase.org/stock/180224/view
196229,T.2274-1,NA,https://musabase.org/stock/196229/view
196216,NM226-15,NA,https://musabase.org/stock/196216/view
123380,ITC0249-Calcutta 4,Calcutta 4; Calcutta-4; Calcutta4; Calcutta_4; ITC0249-Calcutta4,https://musabase.org/stock/123380/view
196219,NM237-8,NA,https://musabase.org/stock/196219/view
196233,T.2691-6,NA,https://musabase.org/stock/196233/view
180228,NM226-16,NA,https://musabase.org/stock/180228/view
171822,T.2203-1,T.2003-1,https://musabase.org/stock/171822/view
231180,Muraru White,NA,https://musabase.org/stock/231180/view
65340,Muraru Mlalu,Muraru-Mlalu,
122623,Mchare,NA,https://musabase.org/stock/122623/view
171825,T.2273-2,NA,https://musabase.org/stock/171825/view
196222,NM259-1,NA,https://musabase.org/stock/196222/view
196227,T.2151-1,NA,https://musabase.org/stock/196227/view
171820,T.2070-1,NA,https://musabase.org/stock/171820/view
171816,T.1687-1,NA,https://musabase.org/stock/171816/view
171832,T.2327-1,NA,https://musabase.org/stock/171832/view
171830,T.2274-7,NA,https://musabase.org/stock/171830/view
65889,Mshare laini,Mshale Laini; Mshare-laini,
171829,T.2274-6,NA,https://musabase.org/stock/171829/view
196223,NM275-4,NA,https://musabase.org/stock/196223/view
180233,T.2731-2,NA,https://musabase.org/stock/180233/view
171828,T.2274-4,NA,https://musabase.org/stock/171828/view
65296,Majimaji,NA,
231181,TT2,NA,https://musabase.org/stock/231181/view
196231,T.2619-15,NA,https://musabase.org/stock/196231/view
171823,T.2269-1,NA,https://musabase.org/stock/171823/view
196220,NM248-1,NA,https://musabase.org/stock/196220/view
196235,T.2731-5,NA,https://musabase.org/stock/196235/view
180226,NM221-1,NA,https://musabase.org/stock/180226/view
180223,NM154-1,NA,https://musabase.org/stock/180223/view
196234,T.2728-19,NA,https://musabase.org/stock/196234/view
171821,T.2115-1,NA,https://musabase.org/stock/171821/view
180231,T.2691-9,NA,https://musabase.org/stock/180231/view
171818,T.1768-1,NA,https://musabase.org/stock/171818/view
180177,ITC1354-Enzirabahima,Enzirabahima,https://musabase.org/stock/180177/view
65458,Nakawere,NA,
65452,Kabucuragye,NA,
65448,IITA-Nakyetengu,NAKYETENGU; Nakyetengu,https://musabase.org/stock/149167/view
65460,Bitambi,NA,
65461,Namande,NA,
65472,660K-1,660K_1,"https://musabase.org/stock/65472/view,https://musabase.org/stock/149174/view"
65473,401K-1,401K_1; 401k-1,https://musabase.org/stock/65473/view
65482,246K-1,NA,
65478,1411K-1,NA,
187485,Nabio1117,NA,https://musabase.org/stock/187485/view
65481,199K-3,NA,
65479,1154K-1,NA,
65469,917K-2,917K_2,"https://musabase.org/stock/65469/view,https://musabase.org/stock/149175/view"
65476,365K-1,365K_1; 365k-1,https://musabase.org/stock/65476/view
241265,1747K-1,NA,https://musabase.org/stock/241265/view
203617,917K-1,NA,https://musabase.org/stock/203617/view
65447,Entukura,NA,https://musabase.org/stock/149159/view
65838,29275S-1,20275S-1; 29275S_1,https://musabase.org/stock/65838/view
65842,29364S-2,29364S_2,https://musabase.org/stock/65842/view
65450,Nfuuka,NA,https://musabase.org/stock/149181/view
65456,Nakasabira,NA,https://musabase.org/stock/149165/view
65451,Tereza,NA,https://musabase.org/stock/149170/view
65664,25974S-17,25974S_17,https://musabase.org/stock/65664/view
65839,29275S-4,29275S_4,https://musabase.org/stock/65839/view
180178,ITC1355-Kazirakwe,Kazirakwe,https://musabase.org/stock/180178/view
149239,Calcutta 4,NA,"https://musabase.org/stock/149239/view,https://musabase.org/stock/150782/view"
65048,Kisukari Mchare,Kisukari-Mchare,
150796,SH3142,NA,https://musabase.org/stock/150796/view
203646,ILALYI,NA,https://musabase.org/stock/203646/view
123383,SH 3217,NA,https://musabase.org/stock/123383/view
65194,SH 3362,SH-3362,
163414,ITC1460-Ijihu_nkundu,ITC.1460_Ijihu Inkundu; ITC1460-Ijihu Inkundu; Ijihu Inkundu; Ijihu-Inkundu,https://musabase.org/stock/163414/view
163415,ITC1559-Huti_green_bell,Huti green bell; Huti-green; Huti-green-bell; ITC.1559_Huti green bell,https://musabase.org/stock/163415/view
65433,2905,NA,
190066,402,NA,https://musabase.org/stock/190066/view
190067,716,NA,https://musabase.org/stock/190067/view
65438,AG201087-4,NA,
65191,8075-7,8075_7,https://musabase.org/stock/65191/view
65418,10969S-1,10969s-1,
65847,7197-2,7197_2,https://musabase.org/stock/65847/view
65437,SH3362,NA,
65416,TMB2X5265-1,5265-1,
123384,SH3217,NA,https://musabase.org/stock/123384/view
65193,9128-3,9128_3,https://musabase.org/stock/65193/view
150791,Malaccensis,NA,https://musabase.org/stock/150791/view
