Crossnumber,Bunch_Harvest_Date,Location
SE202009_(240128C1/242855),2021-01-10,Kawanda
SE202009_(242376C1/242855),2021-01-10,Kawanda
SE202009_(242381C1/242996),2021-01-10,Kawanda
SE202009_(242863C1/242841),2021-02-10,Kawanda
SE202009_(242941C1/242829),2021-01-31,Kawanda
SE202009_(242962C1/242841),2021-01-31,Kawanda
SE202009_(242992C1/243038),2021-01-31,Kawanda
SE202009_(243017C1/243063),2021-01-31,Kawanda
SE202009_(243035C1/242850),2021-01-31,Kawanda
SE202009_(243058C1/242859),2021-01-31,Kawanda
SE202009_(243071C1/242859),2021-01-31,Kawanda
SE202009_(243377C1/242999),2021-01-22,Kawanda
SE202009_(243407C1/243057),2021-01-24,Kawanda
SE202009_(243443C1/242999),2021-01-20,Kawanda
SE202009_(243488C1/242999),2021-01-05,Kawanda
SE202009_(243542C1/242896),2021-01-18,Kawanda
SE202009_(243687C1/242999),2021-01-20,Kawanda
SE202009_(243721C1/242999),2021-01-08,Kawanda
SE202009_(243829C1/242999),2021-01-08,Kawanda
SE202009_(243838C1/242999),2021-01-29,Kawanda
SE202009_(244004C1/242996),2021-01-03,Kawanda
SE202009_(244029C1/242999),2021-02-10,Kawanda
SE202009_(244049C1/242855),2020-12-30,Kawanda
SE202009_(244056C1/242999),2021-02-02,Kawanda
SE202009_(244084C1/242999),2021-01-28,Kawanda
SE202009_(244093C1/242999),2021-01-18,Kawanda
SE202009_(244111C1/242999),2021-01-28,Kawanda
SE202009_(244120C1/242999),2021-01-21,Kawanda
SE202009_(244131C1/242999),2021-01-18,Kawanda
SE202009_(244177C1/242999),2021-02-01,Kawanda
SE202009_(244229C1/242999),2021-01-13,Kawanda
SE202009_(244231C1/242999),2021-02-01,Kawanda
SE202009_(244329C1/242999),2021-02-01,Kawanda
SE202009_(244331C1/242999),2021-01-04,Kawanda
SE202010_(240064C1/242855),2021-01-26,Kawanda
SE202010_(240071C1/242855),2021-01-18,Kawanda
SE202010_(240112C1/242855),2021-02-04,Kawanda
SE202010_(240257C1/242855),2020-12-30,Kawanda
SE202010_(242361C1/243074),2021-01-26,Kawanda
SE202010_(242389C1/242996),2021-01-26,Kawanda
SE202010_(242404C1/243074),2021-02-05,Kawanda
SE202010_(242418C1/242996),2021-02-05,Kawanda
SE202010_(242423C1/243074),2021-01-26,Kawanda
SE202010_(242428C1/242996),2021-02-05,Kawanda
SE202010_(242436C2/243074),2021-01-26,Kawanda
SE202010_(242513C1/242850),2021-02-05,Kawanda
SE202010_(242835C1/243059),2021-02-28,Kawanda
SE202010_(242895C1/242864),2021-01-31,Kawanda
SE202010_(242899C1/242864),2021-01-22,Kawanda
SE202010_(242953C1/242990),2021-02-22,Kawanda
SE202010_(242960C1/243051),2021-02-22,Kawanda
SE202010_(242968C1/242859),2021-02-22,Kawanda
SE202010_(242987C1/242859),2021-02-22,Kawanda
SE202010_(243022C1/242864),2021-01-31,Kawanda
SE202010_(243062C1/242864),2021-01-31,Kawanda
SE202010_(243357C1/243057),2021-02-08,Kawanda
SE202010_(243365C1/243057),2021-02-21,Kawanda
SE202010_(243377C2/243057),2021-02-03,Kawanda
SE202010_(243404C1/242999),2021-01-26,Kawanda
SE202010_(243422C1/242999),2021-02-08,Kawanda
SE202010_(243427C1/242896),2021-01-26,Kawanda
SE202010_(243437C1/242999),2021-02-08,Kawanda
SE202010_(243441C1/242999),2021-02-22,Kawanda
SE202010_(243457C1/242999),2021-02-14,Kawanda
SE202010_(243464C1/242999),2021-02-08,Kawanda
SE202010_(243498C1/242999),2021-02-08,Kawanda
SE202010_(243501C1/243057),2021-02-16,Kawanda
SE202010_(243513C1/242896),2021-02-08,Kawanda
SE202010_(243513C2/242896),2021-02-08,Kawanda
SE202010_(243587C1/243057),2021-02-10,Kawanda
SE202010_(243588C1/242999),2021-02-08,Kawanda
SE202010_(243628C1/242896),2021-02-22,Kawanda
SE202010_(243630C1/243057),2021-02-16,Kawanda
SE202010_(243674C1/242896),2021-02-08,Kawanda
SE202010_(243766C1/242999),2021-01-24,Kawanda
SE202010_(243772C1/242999),2021-01-26,Kawanda
SE202010_(243801C2/242896),2021-02-08,Kawanda
SE202010_(243822C1/243057),2021-02-26,Kawanda
SE202010_(243918C1/242996),2021-02-05,Kawanda
SE202010_(243965C1/242999),2021-02-02,Kawanda
SE202010_(244044C1/242999),2021-02-02,Kawanda
SE202010_(244141C1/242999),2021-02-10,Kawanda
SE202010_(244170C1/242999),2021-02-10,Kawanda
SE202010_(244173C1/242999),2021-02-22,Kawanda
SE202010_(244191C1/242999),2021-02-22,Kawanda
SE202010_(244231C2/242999),2021-02-22,Kawanda
SE202010_(244254C1/244322),2021-01-24,Kawanda
SE202010_(244290C1/242999),2021-03-01,Kawanda
SE202010_(244304C1/242999),2021-02-10,Kawanda
SE202010_(244314C1/242996),2020-12-30,Kawanda
SE202010_(244324C1/242999),2021-02-01,Kawanda
SE202010_(244337C1/244322),2020-12-30,Kawanda
SE202010_(244379C1/242999),2021-02-02,Kawanda
SE202010_(244384C1/242999),2021-03-02,Kawanda
SE202011_(240009C1/242855),2021-02-08,Kawanda
SE202011_(240013C1/242875),2021-02-05,Kawanda
SE202011_(240038C1/242875),2021-02-25,Kawanda
SE202011_(240103C1/242875),2021-02-25,Kawanda
SE202011_(240130C1/242875),2021-02-25,Kawanda
SE202011_(240132C1/242875),2021-02-22,Kawanda
SE202011_(240139C1/242875),2021-02-22,Kawanda
SE202011_(240148C1/242875),2021-02-25,Kawanda
SE202011_(240149C1/242875),2021-02-25,Kawanda
SE202011_(240268C1/242875),2021-03-02,Kawanda
SE202011_(242310C1/243074),2021-02-11,Kawanda
SE202011_(242343C1/242829),2021-02-11,Kawanda
SE202011_(242392C2/242850),2021-02-11,Kawanda
SE202011_(242465C1/242850),2021-03-03,Kawanda
SE202011_(242500C1/242850),2021-02-21,Kawanda
SE202011_(242524C1/242829),2021-02-28,Kawanda
SE202011_(242532C1/242829),2021-02-28,Kawanda
SE202011_(242536C1/242850),2021-02-28,Kawanda
SE202011_(242547C1/242850),2021-02-21,Kawanda
SE202011_(243386C1/242999),2021-03-01,Kawanda
SE202011_(243423C1/242896),2021-02-22,Kawanda
SE202011_(243611C1/242896),2021-03-03,Kawanda
SE202011_(243617C1/242999),2021-03-03,Kawanda
SE202011_(243668C1/242999),2021-03-03,Kawanda
SE202011_(243690C1/242999),2021-03-01,Kawanda
SE202011_(243715C1/242896),2021-03-01,Kawanda
SE202011_(243754C1/242999),2021-03-01,Kawanda
SE202011_(243765C1/242896),2021-02-26,Kawanda
SE202011_(243817C1/242999),2021-03-03,Kawanda
SE202011_(243893C1/242999),2021-03-02,Kawanda
SE202011_(243903C1/244010),2021-02-11,Kawanda
SE202011_(243924C1/242999),2021-03-02,Kawanda
SE202011_(243979C1/242999),2021-03-02,Kawanda
SE202011_(244038C1/242999),2021-02-22,Kawanda
SE202011_(244064C1/242996),2021-02-22,Kawanda
SE202011_(244091C1/242999),2021-03-02,Kawanda
SE202011_(244101C1/242999),2021-03-04,Kawanda
SE202011_(244193C1/242999),2021-03-02,Kawanda
SE202011_(244256C1/244357),2021-02-22,Kawanda
SE202011_(244273C1/242999),2021-03-02,Kawanda
SE202011_(244378C1/243938),2021-02-22,Kawanda
SE202012_(242413C1/242875),2021-03-03,Kawanda
SE202012_(242427C1/242829),2021-03-03,Kawanda
SE202012_(242440C1/242829),2021-03-03,Kawanda
SE202012_(242520C1/242829),2021-02-28,Kawanda
SE202012_(243576C1/242999),2021-03-01,Kawanda
SE202101_(243384C1/242999),2021-02-21,Kawanda
